time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
11100000,raster,tvd,ttlem,2500,3.12050417505816e-07,1.99925011656887e-07,0.0147590102183131,3.12050352068094e-12
11200000,raster,tvd,ttlem,2500,4.04400168463326e-07,1.40136535264901e-07,0.0142547097828469,4.04400299866836e-12
11300000,raster,tvd,ttlem,2500,1.25447081700258e-06,9.82320216280641e-08,0.02901372000116,1.25447104218555e-11
11400000,raster,tvd,ttlem,2500,4.80681705994357e-07,6.88594354869565e-08,0.0147590102183415,4.80682059108672e-12
11500000,raster,tvd,ttlem,2500,5.19554362199415e-07,4.82719997307868e-08,0.0142547097827901,5.19554536666789e-12
11600000,raster,tvd,ttlem,2500,1.1755890909626e-06,3.38401378030539e-08,0.0290137200011031,1.17558929022097e-11
11700000,raster,tvd,ttlem,2500,5.34865705503762e-07,2.37230324273696e-08,0.0147590102182846,5.34865634840709e-12
11800000,raster,tvd,ttlem,2500,5.56862516987167e-07,1.66310201166198e-08,0.0142547097828185,5.56862479990627e-12
11900000,raster,tvd,ttlem,2500,1.14984749188807e-06,1.16591536425403e-08,0.0290137200011316,1.14984752345328e-11
12000000,raster,tvd,ttlem,2500,5.52658718788734e-07,8.17374257167103e-09,0.0147590102183131,5.52658819580354e-12
12100000,raster,tvd,ttlem,2500,5.69180599541141e-07,5.73038505535806e-09,0.0142547097828469,5.69180384070123e-12
12200000,raster,tvd,ttlem,2500,1.14130887141073e-06,4.01803390559508e-09,0.02901372000116,1.14130882947838e-11
12300000,raster,tvd,ttlem,2500,5.58584247301042e-07,2.81636403087759e-09,0.0147590102183415,5.58584451051103e-12
12400000,raster,tvd,ttlem,2500,5.73296574657434e-07,1.97496774489991e-09,0.0142547097827901,5.73296577246651e-12
12500000,raster,tvd,ttlem,2500,1.13844697580134e-06,1.38413724926068e-09,0.0290137200011031,1.13844719364058e-11
12600000,raster,tvd,ttlem,2500,5.60575131203223e-07,9.70430846791714e-10,0.0147590102182846,5.60575312887024e-12
12700000,raster,tvd,ttlem,2500,5.74682701426354e-07,6.80529410601594e-10,0.0142547097828185,5.7468248312027e-12
12800000,raster,tvd,ttlem,2500,1.13748188823592e-06,4.77712092106231e-10,0.0290137200011316,1.13748190594281e-11
12900000,raster,tvd,ttlem,2500,5.6124787306544e-07,3.34239302901551e-10,0.0147590102183131,5.612479508178e-12
13000000,raster,tvd,ttlem,2500,5.75151375414862e-07,2.34308572544251e-10,0.0142547097828469,5.7515138482529e-12
13100000,raster,tvd,ttlem,2500,1.13715492489064e-06,1.64277480507735e-10,0.02901372000116,1.13715491212394e-11
13200000,raster,tvd,ttlem,2500,5.61475985705329e-07,1.15164766611997e-10,0.0147590102183415,5.61476056332366e-12
13300000,raster,tvd,ttlem,2500,5.7531065067451e-07,8.0831341620069e-11,0.0142547097827901,5.75310552061303e-12
13400000,raster,tvd,ttlem,2500,1.13704408022386e-06,5.66160451853648e-11,0.0290137200011031,1.13704381831849e-11
13500000,raster,tvd,ttlem,2500,5.61553690658911e-07,3.9676706364844e-11,0.0147590102182846,5.61553615053767e-12
13600000,raster,tvd,ttlem,2500,5.75364879296103e-07,2.77395884040743e-11,0.0142547097828185,5.75364709591675e-12
13700000,raster,tvd,ttlem,2500,1.13700599513322e-06,1.97815097635612e-11,0.0290137200011316,1.13700599550979e-11
13800000,raster,tvd,ttlem,2500,5.61579952318425e-07,1.38697942020372e-11,0.0147590102183131,5.61580032066877e-12
13900000,raster,tvd,ttlem,2500,5.75383126033557e-07,9.09494701772928e-12,0.0142547097828469,5.75383164011178e-12
14000000,raster,tvd,ttlem,2500,1.13699314852056e-06,6.3664629124105e-12,0.02901372000116,1.1369931022198e-11
14100000,raster,tvd,ttlem,2500,5.61589160952281e-07,4.54747350886464e-12,0.0147590102183415,5.61589040129973e-12
14200000,raster,tvd,ttlem,2500,5.75389378809632e-07,4.54747350886464e-12,0.0142547097827901,5.75389457089059e-12
14300000,raster,tvd,ttlem,2500,1.13698865789047e-06,9.09494701772928e-13,0.0290137200011031,1.13698870631607e-11
14400000,raster,tvd,ttlem,2500,5.61592059966642e-07,0,0.0147590102182846,5.61592111478837e-12
14500000,raster,tvd,ttlem,2500,5.7539148201613e-07,0,0.0142547097828185,5.75391603772957e-12
14600000,raster,tvd,ttlem,2500,1.13698706627474e-06,0,0.0290137200011316,1.13698720495579e-11
14700000,raster,tvd,ttlem,2500,5.61593139991601e-07,0,0.0147590102183131,5.61593161246932e-12
14800000,raster,tvd,ttlem,2500,5.75392334667413e-07,0,0.0142547097828469,5.75392337715108e-12
14900000,raster,tvd,ttlem,2500,1.13698666837081e-06,0,0.02901372000116,1.13698669189597e-11
15000000,raster,tvd,ttlem,2500,5.61593594738952e-07,0,0.0147590102183415,5.61593519116044e-12
15100000,raster,tvd,ttlem,2500,5.75392505197669e-07,0,0.0142547097827901,5.75392588633861e-12
15200000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011031,1.13698651330976e-11
15300000,raster,tvd,ttlem,2500,5.61593651582371e-07,0,0.0147590102182846,5.6159364497963e-12
15400000,raster,tvd,ttlem,2500,5.75392562041088e-07,0,0.0142547097828185,5.75392679660602e-12
15500000,raster,tvd,ttlem,2500,1.13698638415372e-06,0,0.0290137200011316,1.13698644875375e-11
15600000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102183131,5.61593693251239e-12
15700000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097828469,5.75392711497358e-12
15800000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.02901372000116,1.13698642954121e-11
15900000,raster,tvd,ttlem,2500,5.61593651582371e-07,0,0.0147590102183415,5.61593703779351e-12
16000000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097827901,5.75392716869239e-12
16100000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011031,1.13698642679247e-11
16200000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102182846,5.61593705367769e-12
16300000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097828185,5.75392718130629e-12
16400000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011316,1.13698642597464e-11
16500000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102183131,5.61593706100338e-12
16600000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097828469,5.7539271858964e-12
16700000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.02901372000116,1.13698642557105e-11
16800000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102183415,5.61593706479768e-12
16900000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097827901,5.75392718842593e-12
17000000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011031,1.136986425446e-11
17100000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102182846,5.61593706501085e-12
17200000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097828185,5.75392718881673e-12
17300000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011316,1.13698642538347e-11
17400000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102183131,5.61593706491137e-12
17500000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097828469,5.75392718898726e-12
17600000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.02901372000116,1.13698642539626e-11
17700000,raster,tvd,ttlem,2500,5.61593708425789e-07,0,0.0147590102183415,5.61593706505348e-12
17800000,raster,tvd,ttlem,2500,5.75392732571345e-07,0,0.0142547097827901,5.75392718892331e-12
17900000,raster,tvd,ttlem,2500,1.13698644099713e-06,0,0.0290137200011031,1.13698642539057e-11
